Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2022-12-18 04:00:00,Bitfinex,LTC/USD,64.926,65.97,64.926,65.433,24083.506524220986,368.06361506
2022-12-18 03:00:00,Bitfinex,LTC/USD,64.654,64.97,64.653,64.917,957.55726460682,14.75048546
2022-12-18 02:00:00,Bitfinex,LTC/USD,64.287,64.749,64.265,64.666,26513.09626986608,410.00056088
2022-12-18 01:00:00,Bitfinex,LTC/USD,64.701,64.732,64.316,64.316,12493.05823442852,194.24495047
2022-12-18 00:00:00,Bitfinex,LTC/USD,64.988,65.125,64.499,64.725,31890.623375850748,492.70951527
2022-12-17 23:00:00,Bitfinex,LTC/USD,64.753,65.25,64.428,64.948,58671.63220822487,903.36318606
2022-12-17 22:00:00,Bitfinex,LTC/USD,63.872,65.0,63.744,64.794,36083.27835597917,556.89227947
2022-12-17 21:00:00,Bitfinex,LTC/USD,63.574,64.161,63.527,63.908,17793.35390517308,278.42138551
2022-12-17 20:00:00,Bitfinex,LTC/USD,63.876,63.978,63.527,63.654,32995.490583003055,518.35690739
2022-12-17 19:00:00,Bitfinex,LTC/USD,63.816,64.019,63.63,63.805,77018.37052396726,1207.08989145
2022-12-17 18:00:00,Bitfinex,LTC/USD,63.476,64.131,63.476,63.98,38550.185003743,602.53493285
2022-12-17 17:00:00,Bitfinex,LTC/USD,64.047,64.047,63.14,63.548,35562.155159128444,559.61092653
2022-12-17 16:00:00,Bitfinex,LTC/USD,64.25,64.261,63.717,64.037,64476.901661765485,1006.86949204
2022-12-17 15:00:00,Bitfinex,LTC/USD,63.94,64.648,63.912,64.296,38207.77159342104,594.24803399
2022-12-17 14:00:00,Bitfinex,LTC/USD,63.541,64.47,63.541,63.967,79838.92594671143,1248.12678329
2022-12-17 13:00:00,Bitfinex,LTC/USD,63.72,63.902,63.351,63.597,48282.90941152293,759.20105369
2022-12-17 12:00:00,Bitfinex,LTC/USD,63.473,64.122,63.252,63.783,33836.87505727917,530.49989899
2022-12-17 11:00:00,Bitfinex,LTC/USD,64.692,64.758,63.098,63.434,65783.6711985187,1037.04119555
2022-12-17 10:00:00,Bitfinex,LTC/USD,64.21,64.749,63.82,64.652,40573.58050273864,627.56883782
2022-12-17 09:00:00,Bitfinex,LTC/USD,64.765,64.861,64.121,64.121,19773.735797094687,308.38158789
2022-12-17 08:00:00,Bitfinex,LTC/USD,65.051,65.27,64.63,64.851,63241.54285933845,975.18223095
2022-12-17 07:00:00,Bitfinex,LTC/USD,64.414,65.18,64.302,65.098,46049.97470065036,707.39461582
2022-12-17 06:00:00,Bitfinex,LTC/USD,65.484,65.67,62.626,64.386,473670.5209984843,7356.73160312
2022-12-17 05:00:00,Bitfinex,LTC/USD,66.753,66.98,65.38,65.487,90395.6819506732,1380.36071206
2022-12-17 04:00:00,Bitfinex,LTC/USD,66.333,67.029,66.279,66.706,34456.404650875345,516.54131039
2022-12-17 03:00:00,Bitfinex,LTC/USD,66.945,66.99,66.231,66.231,37141.57389036698,560.78836029
2022-12-17 02:00:00,Bitfinex,LTC/USD,66.597,67.046,65.794,66.89,23069.8848207924,344.89288116
2022-12-17 01:00:00,Bitfinex,LTC/USD,66.911,67.323,65.98,66.5,65424.06740359,983.82056246
2022-12-17 00:00:00,Bitfinex,LTC/USD,66.318,67.745,66.192,66.911,138741.45571793284,2073.52237626
