https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1650175200000,2022-04-17 06:00:00,DOG/USD,145320,145320,142530,145090,120.0489169,0.00082741
1650171600000,2022-04-17 05:00:00,DOG/USD,144310,145440,141370,145320,114.82895760000001,0.00079018
1650168000000,2022-04-17 04:00:00,DOG/USD,143220,145450,141370,144330,116.6070936,0.00080792
1650164400000,2022-04-17 03:00:00,DOG/USD,143180,145480,143180,144200,59.71322,0.0004141
1650160800000,2022-04-17 02:00:00,DOG/USD,144900,145670,143060,143170,116.82672,0.000816
1650157200000,2022-04-17 01:00:00,DOG/USD,144550,145820,142740,145680,118.3897656,0.00081267
1650153600000,2022-04-17 00:00:00,DOG/USD,144730,146210,142710,144570,91.01259780000001,0.00062954
1650150000000,2022-04-16 23:00:00,DOG/USD,144780,146530,142000,146220,114.56337,0.0007835
1650146400000,2022-04-16 22:00:00,DOG/USD,144930,147150,142000,144890,78.35651200000001,0.0005408
1650142800000,2022-04-16 21:00:00,DOG/USD,144830,144950,141160,144950,121.5420245,0.00083851
1650139200000,2022-04-16 20:00:00,DOG/USD,140900,145180,140900,140950,119.31840350000002,0.0008465300000000001
1650135600000,2022-04-16 19:00:00,DOG/USD,143300,144400,140620,143580,115.51872479999999,0.00080456
1650132000000,2022-04-16 18:00:00,DOG/USD,143340,145050,140610,142900,122.939728,0.00086032
1650128400000,2022-04-16 17:00:00,DOG/USD,142970,145080,140550,145080,121.18387320000001,0.00083529
1650124800000,2022-04-16 16:00:00,DOG/USD,142610,143490,139860,142970,104.8284634,0.00073322
1650121200000,2022-04-16 15:00:00,DOG/USD,145480,145480,136380,139070,582.3305924000001,0.0041873200000000005
1650117600000,2022-04-16 14:00:00,DOG/USD,146730,146980,140370,142710,125.6518737,0.00088047
1650114000000,2022-04-16 13:00:00,DOG/USD,145710,147130,144670,145090,73.4692233,0.00050637
1650110400000,2022-04-16 12:00:00,DOG/USD,145340,147180,144600,147130,111.4421472,0.00075744
1650106800000,2022-04-16 11:00:00,DOG/USD,145990,147750,144400,144590,118.9411799,0.00082261
1650103200000,2022-04-16 10:00:00,DOG/USD,146130,147960,144250,144350,109.8691155,0.00076113
1650099600000,2022-04-16 09:00:00,DOG/USD,145610,147960,144200,147170,59.614151899999996,0.00040507
1650096000000,2022-04-16 08:00:00,DOG/USD,146420,148160,143710,145610,109.2613757,0.00075037
1650092400000,2022-04-16 07:00:00,DOG/USD,146490,148340,143880,143920,103.81669199999999,0.0007213499999999999
1650088800000,2022-04-16 06:00:00,DOG/USD,147120,148760,143750,146490,134.5408107,0.00091843
1650085200000,2022-04-16 05:00:00,DOG/USD,146440,148900,146440,146550,95.204742,0.0006496399999999999
1650081600000,2022-04-16 04:00:00,DOG/USD,149810,149830,146360,147820,121.1872706,0.00081983
1650078000000,2022-04-16 03:00:00,DOG/USD,146310,149920,146310,147990,112.0698672,0.00075728
1650074400000,2022-04-16 02:00:00,DOG/USD,148170,149780,145620,148640,107.14268480000001,0.0007208200000000001
1650070800000,2022-04-16 01:00:00,DOG/USD,147960,147960,144970,145400,122.352646,0.00084149
1650067200000,2022-04-16 00:00:00,DOG/USD,146960,148620,145060,147970,112.65991890000001,0.00076137
1650063600000,2022-04-15 23:00:00,DOG/USD,147250,148630,144490,145050,117.0364935,0.00080687
1650060000000,2022-04-15 22:00:00,DOG/USD,144190,148490,144020,144990,111.6060525,0.00076975
1650056400000,2022-04-15 21:00:00,DOG/USD,146700,147020,143840,146870,116.98489239999999,0.00079652
1650052800000,2022-04-15 20:00:00,DOG/USD,147580,147580,141460,146710,142.02408259999999,0.00096806
1650049200000,2022-04-15 19:00:00,DOG/USD,144670,147590,141950,146650,126.97396950000001,0.00086583
1650045600000,2022-04-15 18:00:00,DOG/USD,147290,148260,144480,144690,122.15742630000001,0.00084427
1650042000000,2022-04-15 17:00:00,DOG/USD,146720,148350,144550,144770,119.0342371,0.00082223
1650038400000,2022-04-15 16:00:00,DOG/USD,147440,148390,144940,145060,120.167704,0.0008284
1650034800000,2022-04-15 15:00:00,DOG/USD,146760,147640,144650,145760,115.4098528,0.00079178
1650031200000,2022-04-15 14:00:00,DOG/USD,145470,147500,144000,147300,172.50303,0.0011711
1650027600000,2022-04-15 13:00:00,DOG/USD,148840,149560,145390,145460,129.233937,0.00088845
1650024000000,2022-04-15 12:00:00,DOG/USD,148820,150680,143980,147140,122.6014622,0.00083323
1650020400000,2022-04-15 11:00:00,DOG/USD,149070,150660,143780,148820,109.1252414,0.00073327
1650016800000,2022-04-15 10:00:00,DOG/USD,148350,149070,141740,149070,107.8864311,0.00072373
1650013200000,2022-04-15 09:00:00,DOG/USD,148720,148720,143920,144720,122.31879119999999,0.00084521
1650009600000,2022-04-15 08:00:00,DOG/USD,146520,148860,143360,144040,115.3933248,0.00080112
1650006000000,2022-04-15 07:00:00,DOG/USD,145890,147540,143260,146770,108.0990404,0.0007365200000000001
1650002400000,2022-04-15 06:00:00,DOG/USD,144160,149040,141070,147630,202.1276145,0.00136915
1649998800000,2022-04-15 05:00:00,DOG/USD,144670,148870,142670,146910,119.3100183,0.00081213
1649995200000,2022-04-15 04:00:00,DOG/USD,144980,146660,142440,146130,130.8316503,0.00089531
1649991600000,2022-04-15 03:00:00,DOG/USD,144130,146730,142220,146730,109.9403871,0.00074927
1649988000000,2022-04-15 02:00:00,DOG/USD,145060,146500,142040,142270,107.8605778,0.00075814
1649984400000,2022-04-15 01:00:00,DOG/USD,145690,146430,141090,141920,116.0863024,0.00081797
1649980800000,2022-04-15 00:00:00,DOG/USD,144600,147020,140080,143930,126.989439,0.0008823
1649977200000,2022-04-14 23:00:00,DOG/USD,145360,147290,139590,146080,128.3429664,0.00087858
1649973600000,2022-04-14 22:00:00,DOG/USD,144460,146480,137820,143740,133.9182458,0.00093167
1649970000000,2022-04-14 21:00:00,DOG/USD,143660,146050,139540,145650,115.3504305,0.00079197
1649966400000,2022-04-14 20:00:00,DOG/USD,143850,144250,139220,144240,119.841804,0.00083085
1649962800000,2022-04-14 19:00:00,DOG/USD,140690,144140,139030,142260,116.4739524,0.00081874
1649959200000,2022-04-14 18:00:00,DOG/USD,143150,145480,138880,142640,121.84308800000001,0.0008542000000000001
1649955600000,2022-04-14 17:00:00,DOG/USD,141180,145670,138680,142930,112.2400704,0.00078528
1649952000000,2022-04-14 16:00:00,DOG/USD,141610,141610,138540,141350,121.939818,0.00086268
1649948400000,2022-04-14 15:00:00,DOG/USD,142640,142640,138410,138490,105.8659107,0.00076443
1649944800000,2022-04-14 14:00:00,DOG/USD,139310,145920,136030,142650,122.433642,0.00085828
1649941200000,2022-04-14 13:00:00,DOG/USD,146020,147890,141670,143430,206.6195208,0.00144056
1649937600000,2022-04-14 12:00:00,DOG/USD,146230,147780,141500,145840,123.0947936,0.00084404
1649934000000,2022-04-14 11:00:00,DOG/USD,143550,148190,137180,146110,148.6493918,0.00101738
1649930400000,2022-04-14 10:00:00,DOG/USD,141700,148870,137010,137080,115.8161504,0.00084488
1649926800000,2022-04-14 09:00:00,DOG/USD,140500,141680,136940,140030,105.19333660000001,0.00075122
1649923200000,2022-04-14 08:00:00,DOG/USD,140850,140910,136630,136870,117.58501700000001,0.0008591
1649919600000,2022-04-14 07:00:00,DOG/USD,134430,142760,134280,136620,107.43250320000001,0.00078636
1649916000000,2022-04-14 06:00:00,DOG/USD,141990,143530,134280,140570,215.50224419999998,0.00153306
1649912400000,2022-04-14 05:00:00,DOG/USD,142170,144090,139920,143540,122.4381846,0.00085299
1649908800000,2022-04-14 04:00:00,DOG/USD,142480,144070,139780,143870,115.6916218,0.00080414
1649905200000,2022-04-14 03:00:00,DOG/USD,144010,144020,139650,143910,127.6899039,0.00088729
1649901600000,2022-04-14 02:00:00,DOG/USD,143490,145140,138990,142240,105.5435024,0.00074201
1649898000000,2022-04-14 01:00:00,DOG/USD,142170,145120,138780,145120,123.5232416,0.00085118
1649894400000,2022-04-14 00:00:00,DOG/USD,142890,143760,137880,143760,108.6653088,0.00075588
1649890800000,2022-04-13 23:00:00,DOG/USD,140070,143080,135450,141160,116.4838204,0.00082519
1649887200000,2022-04-13 22:00:00,DOG/USD,140330,140330,135050,140070,114.9988707,0.00082101
1649883600000,2022-04-13 21:00:00,DOG/USD,142570,142570,133890,140340,196.4002164,0.00139946
1649880000000,2022-04-13 20:00:00,DOG/USD,140880,142730,139260,139630,108.8150553,0.00077931
1649876400000,2022-04-13 19:00:00,DOG/USD,141670,143380,139270,140980,123.6972618,0.00087741
1649872800000,2022-04-13 18:00:00,DOG/USD,142250,143750,139180,139270,113.26411289999999,0.0008132699999999999
1649869200000,2022-04-13 17:00:00,DOG/USD,140770,142260,139030,140710,116.7372373,0.00082963
1649865600000,2022-04-13 16:00:00,DOG/USD,142780,142950,138800,142460,114.616193,0.00080455
1649862000000,2022-04-13 15:00:00,DOG/USD,140770,143530,137330,141250,117.50446249999999,0.00083189
1649858400000,2022-04-13 14:00:00,DOG/USD,140980,142910,136430,140770,94.47497010000001,0.00067113
1649854800000,2022-04-13 13:00:00,DOG/USD,137620,142780,135360,142780,122.2096854,0.00085593
1649851200000,2022-04-13 12:00:00,DOG/USD,138350,138790,134420,135360,96.9150528,0.00071598
1649847600000,2022-04-13 11:00:00,DOG/USD,140210,141610,131460,138360,110.0764488,0.0007955799999999999
1649844000000,2022-04-13 10:00:00,DOG/USD,140690,142260,132860,132860,160.29160420000002,0.00120647
1649840400000,2022-04-13 09:00:00,DOG/USD,141940,143650,139940,139940,146.8082552,0.00104908
1649836800000,2022-04-13 08:00:00,DOG/USD,139760,144010,139760,139860,115.2488358,0.00082403
1649833200000,2022-04-13 07:00:00,DOG/USD,142880,143380,139680,143210,102.7746565,0.00071765
1649829600000,2022-04-13 06:00:00,DOG/USD,142410,144100,139550,139630,107.88791210000001,0.00077267
1649826000000,2022-04-13 05:00:00,DOG/USD,142600,144180,139380,144110,119.4037816,0.00082856
1649822400000,2022-04-13 04:00:00,DOG/USD,139220,143950,139220,143950,116.550557,0.00080966
1649818800000,2022-04-13 03:00:00,DOG/USD,143130,143740,138960,141670,129.812221,0.0009163
1649815200000,2022-04-13 02:00:00,DOG/USD,142780,144560,138870,141470,102.4313535,0.00072405
1649293200000,2022-04-07 01:00:00,DOG/USD,141960,141960,138100,138100,8.440672,6.112e-05
1649289600000,2022-04-07 00:00:00,DOG/USD,144840,145600,140650,140650,196.7763825,0.00139905
1649286000000,2022-04-06 23:00:00,DOG/USD,145490,145490,141220,143260,111.0236348,0.00077498
1649282400000,2022-04-06 22:00:00,DOG/USD,148750,148780,141590,143540,217.7961128,0.00151732
1649278800000,2022-04-06 21:00:00,DOG/USD,148150,149430,142240,147310,123.6240251,0.00083921
1649275200000,2022-04-06 20:00:00,DOG/USD,145310,149170,141980,142230,120.65513130000001,0.00084831
1649271600000,2022-04-06 19:00:00,DOG/USD,146280,146280,140960,145320,114.0631212,0.00078491
1649268000000,2022-04-06 18:00:00,DOG/USD,149980,151640,140840,140950,217.4449745,0.00154271
1649264400000,2022-04-06 17:00:00,DOG/USD,147470,151370,144650,150990,126.32427360000001,0.00083664
1649260800000,2022-04-06 16:00:00,DOG/USD,144360,150010,144360,144620,114.1760438,0.00078949
1649257200000,2022-04-06 15:00:00,DOG/USD,151710,151710,142600,148640,160.917664,0.0010826
1649253600000,2022-04-06 14:00:00,DOG/USD,148100,152000,141590,149950,117.55330249999999,0.00078395
